,weight,구,lat,lon
1,100,성북구,37.606991,127.0232185
2,96,도봉구,37.6658609,127.0317674
3,92,양천구,37.5270616,126.8561534
4,88,노원구,37.655264,127.0771201
5,84,은평구,37.6176125,126.9227004
6,80,성동구,37.5506753,127.0409622
7,76,강서구,37.5657617,126.8226561
8,72,송파구,37.5048534,127.1144822
9,68,동작구,37.4965037,126.9443073
10,64,강동구,37.5492077,127.1464824
11,60,서대문구,37.5820369,126.9356665
12,56,동대문구,37.5838012,127.0507003
13,52,관악구,37.4653993,126.9438071
14,48,중랑구,37.5953795,127.0939669
15,44,구로구,37.4954856,126.858121
16,40,광진구,37.5481445,127.0857528
17,36,강북구,37.6469954,127.0147158
18,32,금천구,37.4600969,126.9001546
19,28,마포구,37.5622906,126.9087803
20,24,서초구,37.4769528,127.0378103
21,20,강남구,37.4959854,127.0664091
22,16,용산구,37.5311008,126.9810742
23,12,영등포구,37.520641,126.9139242
24,8,종로구,37.5990998,126.9861493
25,4,중구,37.5579452,126.9941904
