키값,연도,학교종류,학교명,본분교,학교상태,설립,우편번호,주소,도로명주소,행정시,행정구,행정동,전화번호,팩스번호,홈페이지,address_lat,address_lon
BE_LiST23-0034,2013,일반대학,서울시립대학교,본교,기존,공립,,서울 동대문구 서울시립대로 163 (전농동 90번지) ,,서울특별시,동대문구,휘경2동,02-6490-6114,02-2210-5576,http://www.uos.ac.kr,37.5825812,127.0600071
BE_LiST23-0035,2013,전문대학(3년제),서울여자간호대학교,본교,기존,사립,,서울 서대문구 홍제3동 서울여자간호대학,,서울특별시,서대문구,홍제2동,02-2287-1700,02-395-8018,http://www.snjc.ac.kr,37.5976681,126.9476147
BE_LiST23-0036,2013,일반대학,서울여자대학교,본교,기존,사립,,서울특별시 노원구 화랑로 621 서울여자대학교,,서울특별시,노원구,공릉2동,02-970-5114,02-978-7931,http://www.swu.ac.kr,37.6280329,127.0904235
BE_LiST23-0037,2013,전문대학(2년제),서일대학교,본교,학교명 변경,사립,,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,,서울특별시,중랑구,면목제3.8동,02-490-7300,02-493-2576,http://www.seoil.ac.kr,37.5861321,127.097475
BE_LiST23-0038,2013,일반대학,성공회대학교,본교,기존,사립,,서울 구로구 항동 성공회대학교,,서울특별시,구로구,오류2동,02-2610-4142,02-2610-4248,http://www.skhu.ac.kr,37.4877973,126.8255597
BE_LiST23-0039,2013,일반대학,성균관대학교,본교,기존,사립,,서울 종로구 명륜동3가 성균관대학교,,서울특별시,종로구,종로1.2.3.4가동,02-760-0114,,http://www.skku.edu,37.5879535,126.9921594
BE_LiST23-0040,2013,일반대학,성신여자대학교,본교,기존,사립,,서울 성북구 동선동3가 성신여자대학교,,서울특별시,성북구,동선동,02-920-7114,02-920-2018,http://www.sungshin.ac.kr,37.5923265,127.0212298
BE_LiST23-0041,2013,일반대학,세종대학교,본교,기존,사립,,서울 광진구 군자동 세종대학교,,서울특별시,광진구,군자동,02-3408-3114,02-3408-3906,http://www.sejong.ac.kr,37.5514705,127.0738839
BE_LiST23-0042,2013,일반대학,숙명여자대학교,본교,기존,사립,,서울 용산구 청파로47길 100 숙명여자대학교,,서울특별시,용산구,청파동,,,http://www.sookmyung.ac.kr/,37.5459469,126.9645778
BE_LiST23-0043,2013,일반대학,숭실대학교,본교,기존,사립,,서울 동작구 상도동 511 숭실대학교,,서울특별시,동작구,상도1동,02-820-0114,,http://www.ssu.ac.kr,37.4960751,126.9581433
BE_LiST23-0044,2013,전문대학(2년제),숭의여자대학교,본교,기존,사립,,서울특별시 중구 소파로2길 10(예장동),,서울특별시,중구,필동,02-3708-9000,02-773-2625,http://www.sewc.ac.kr,37.5570678,126.987521
BE_LiST23-0045,2013,일반대학,연세대학교,본교,기존,사립,,서울 서대문구 신촌동 연세대학교,,서울특별시,서대문구,신촌동,02-2123-2114,02-392-0618,http://www.yonsei.ac.kr,37.567113,126.9390291
BE_LiST23-0046,2013,일반대학,이화여자대학교,본교,기존,사립,,서울 서대문구 대현동 11-1 이화여자대학교,,서울특별시,서대문구,신촌동,02-3277-2114,02-393-5903,http://www.ewha.ac.kr,37.5606017,126.9478377
BE_LiST23-0047,2013,전문대학(2년제),인덕대학교,본교,기존,사립,,서울 노원구 초안산로 12,,서울특별시,노원구,월계2동,02-950-7000,02-906-5340,http://www.induk.ac.kr,37.630813,127.0550871
BE_LiST23-0048,2013,일반대학,장로회신학대학교,본교,기존,사립,,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,,서울특별시,광진구,광장동,02-450-0700,,http://www.pcts.ac.kr,37.5498747,127.1033079
BE_LiST23-0049,2013,전문대학(3년제),적십자간호대학,본교,폐교,사립,,서울 종로구 경교장길8,,서울특별시,종로구,교남동,02-3700-3600,02-3700-3400,http://redcross.cau.ac.kr,37.5674167,126.96635
BE_LiST23-0050,2013,일반대학,중앙대학교 서울캠퍼스,본교,기존,사립,,서울 동작구 흑석로 84,,서울특별시,동작구,흑석동,02-820-5114,,http://www.cau.ac.kr,37.5048875,126.9573779
BE_LiST23-0051,2013,일반대학,총신대학교,본교,기존,사립,,서울 동작구 사당동 산31-3,,서울특별시,동작구,사당3동,02-3479-0200,02-536-2602,http://www.chongshin.ac.kr,37.4907585,126.9671368
BE_LiST23-0052,2013,일반대학,추계예술대학교,본교,기존,사립,,서울 서대문구 북아현동 190-1 추계예술대학교,,서울특별시,서대문구,충현동,02-362-5700,02-392-1777,http://www.chugye.ac.kr,37.5630397,126.9536152
BE_LiST23-0053,2013,방송통신대학,한국방송통신대학교,본교,기존,국립,,서울 종로구 동숭동 한국방송통신대학교,,서울특별시,종로구,이화동,02-3668-4114,02-744-5882,http://www.knou.ac.kr,37.5793538,127.0033287
