"","X","역번호","역사명","노선번호","노선명","환승역구분","역위도","역경도","역사도로명주소","구"
"1",1,150,"서울역","S1101","서울 도시철도 1호선","일반역",37.55575305,126.9724563,"서울특별시 중구 세종대로 지하 2 (남대문로 5가)","중구"
"2",2,151,"시청","S1101","서울 도시철도 1호선","일반역",37.56471664,126.9767513,"서울특별시 중구 세종대로 지하 101 (정동)","중구"
"3",3,152,"종각","S1101","서울 도시철도 1호선","일반역",37.57020349,126.9829483,"서울특별시 종로구 종로 지하 55 (종로1가)","종로구"
"4",4,153,"종로3가","S1101","서울 도시철도 1호선","일반역",37.57139366,126.9914115,"서울특별시 종로구 종로 지하 129 (종로3가)","종로구"
"5",5,154,"종로5가","S1101","서울 도시철도 1호선","일반역",37.57100685,127.001799,"서울특별시 종로구 종로 지하 216  (종로5가)","종로구"
"6",6,155,"동대문","S1101","서울 도시철도 1호선","일반역",37.57129132,127.0101189,"서울특별시 종로구 종로 지하 302 (창신동)","종로구"
"7",7,156,"신설동","S1101","서울 도시철도 1호선","일반역",37.57528723,127.0249104,"서울특별시 동대문구 왕산로 지하 1 (신설동)","동대문구"
"8",8,157,"제기동","S1101","서울 도시철도 1호선","일반역",37.57812027,127.0344966,"서울특별시 동대문구 왕산로 지하 93 (제기동)","동대문구"
"9",9,158,"청량리","S1101","서울 도시철도 1호선","일반역",37.5801441,127.0457768,"서울특별시 동대문구 왕산로 지하 205(전농동)","동대문구"
"10",10,159,"동묘앞","S1101","서울 도시철도 1호선","일반역",37.57253741,127.0155932,"서울특별시 종로구 종로 359 (숭인동)","종로구"
"11",11,200,"까치산","S1102","서울 도시철도 2호선","일반역",37.53168373,126.8467432,"서울특별시 강서구 강서로 지하54(화곡동)","강서구"
"12",12,201,"시청","S1102","서울 도시철도 2호선","환승역",37.56461852,126.9760864,"서울특별시 중구 세종대로 지하 101 (정동)","중구"
"13",13,202,"을지로입구","S1102","서울 도시철도 2호선","일반역",37.56597747,126.9825045,"서울특별시 중구 을지로 지하 42 (을지로1가)","중구"
"14",14,203,"을지로3가","S1102","서울 도시철도 2호선","일반역",37.56634826,126.9903084,"서울특별시 중구 을지로 지하 106 (을지로3가)","중구"
"15",15,204,"을지로4가","S1102","서울 도시철도 2호선","일반역",37.56682797,126.9979016,"서울특별시 중구 을지로 지하 178 (을지로4가)","중구"
"16",16,205,"동대문역사문화공원","S1102","서울 도시철도 2호선","일반역",37.56500251,127.007394,"서울특별시 중구 을지로 지하 279 (을지로7가)","중구"
"17",17,206,"신당","S1102","서울 도시철도 2호선","일반역",37.56582912,127.0181023,"서울특별시 중구 퇴계로 지하 431-1 (신당동)","중구"
"18",18,207,"상왕십리","S1102","서울 도시철도 2호선","일반역",37.56417104,127.0293524,"서울특별시 성동구 왕십리로 지하 374 (하왕십리동)","성동구"
"19",19,208,"왕십리","S1102","서울 도시철도 2호선","환승역",37.56152516,127.0375076,"서울특별시 성동구 왕십리로 지하300(행당동)","성동구"
"20",20,209,"한양대","S1102","서울 도시철도 2호선","일반역",37.55522179,127.0434917,"서울특별시 성동구 왕십리로 206 (행당동)","성동구"
"21",21,210,"뚝섬","S1102","서울 도시철도 2호선","일반역",37.54712239,127.0473648,"서울특별시 성동구 아차산로 18 (성수동1가)","성동구"
"22",22,211,"성수","S1102","서울 도시철도 2호선","일반역",37.5444338,127.0559893,"서울특별시 성동구 아차산로 100 (성수동2가)","성동구"
"23",23,212,"건대입구","S1102","서울 도시철도 2호선","일반역",37.54060889,127.0700628,"서울특별시 광진구 아차산로 243 (화양동)","광진구"
"24",24,213,"구의","S1102","서울 도시철도 2호선","일반역",37.53691864,127.0857297,"서울특별시 광진구 아차산로 384-1 (구의동)","광진구"
"25",25,214,"강변","S1102","서울 도시철도 2호선","일반역",37.53487706,127.0946944,"서울특별시 광진구 강변역로 53 (구의동)","광진구"
"26",26,215,"잠실나루","S1102","서울 도시철도 2호선","일반역",37.52054808,127.1036977,"서울특별시 송파구 오금로 20 (신천동)","송파구"
"27",27,216,"잠실","S1102","서울 도시철도 2호선","일반역",37.51376934,127.1021882,"서울특별시 송파구 올림픽로 지하 265 (잠실동)","송파구"
"28",28,217,"잠실새내","S1102","서울 도시철도 2호선","일반역",37.51141143,127.0860068,"서울특별시 송파구 올림픽로 지하 140 (잠실동)","송파구"
"29",29,218,"종합운동장","S1102","서울 도시철도 2호선","일반역",37.51106095,127.073542,"서울특별시 송파구 올림픽로 지하 23 (잠실동)","송파구"
"30",30,219,"삼성","S1102","서울 도시철도 2호선","일반역",37.5086936,127.063165,"서울특별시 강남구 테헤란로 지하 538 (삼성동)","강남구"
"31",31,220,"선릉","S1102","서울 도시철도 2호선","일반역",37.50437895,127.0486966,"서울특별시 강남구 테헤란로 지하 340 (삼성동)","강남구"
"32",32,221,"역삼","S1102","서울 도시철도 2호선","일반역",37.50054496,127.0363944,"서울특별시 강남구 테헤란로 지하 156 (역삼동)","강남구"
"33",33,222,"강남","S1102","서울 도시철도 2호선","일반역",37.49720244,127.0280537,"서울특별시 강남구 강남대로 지하 396 (역삼동)","강남구"
"34",34,223,"교대","S1102","서울 도시철도 2호선","일반역",37.49320061,127.0142237,"서울특별시 서초구 서초대로 지하 294 (서초동)","서초구"
"35",35,224,"서초","S1102","서울 도시철도 2호선","일반역",37.49178284,127.0075972,"서울특별시 서초구 서초대로 지하 233 (서초동)","서초구"
